Area	Number	Designation	Latitude	Longitude	Height (ft)	Elevation (ft)	Lighting	Type of obstacle				
55N 13E	12401	Ö SÖNNARSLÖV	555305N	0135753E	492	997	FLG R	Wind turbine				
55N 13E	12402	Ö SÖNNARSLÖV	555313N	0135726E	492	1030	FLG R	Wind turbine				
55N 13E	12403	Ö SÖNNARSLÖV	555326N	0135722E	492	1010	FLG R	Wind turbine				
55N 13E	12404	Ö SÖNNARSLÖV	555337N	0135702E	492	1033	FLG R	Wind turbine				
55N 13E	12405	Ö SÖNNARSLÖV	555302N	0135605E	492	1099	FLG R	Wind turbine				
55N 13E	12406	Ö SÖNNARSLÖV	555251N	0135624E	492	1063	F R	Wind turbine				
55N 13E	12407	Ö SÖNNARSLÖV	555324N	0135640E	492	1089	FLG R	Wind turbine				
55N 13E	12421	Ö SÖNNARSLÖV	555316N	0135609E	492	1079	FLG R	Wind turbine				
55N 13E	12600	ÖNNARP	552553N	0132648E	394	545	FLG R	Wind turbine				
55N 13E	12605	OXIE	553311N	0130451E	328	492	F R	Mast				
55N 13E	12607	TIRUP	555344N	0130256E	492	689	FLG R	Wind turbine				
55N 13E	12617	KÄVLINGE	554638N	0131153E	390	499	FLG R	Wind turbine				
55N 13E	12618	KÄVLINGE	554631N	0131134E	390	495	FLG R	Wind turbine				
55N 13E	12619	KÄVLINGE	554626N	0131153E	390	499	FLG R	Wind turbine				
55N 14E	20	KIVIK	554005.1N	0140929.0E	361	926	F R	Mast				
55N 14E	21	GLIMMINGE	553004.4N	0141539.3E	361	585	F R	Mast				
55N 14E	885	LISTERLANDET/BJÖRKENABBEN	555929.4N	0144000.2E	453	458	F R	Mast				
55N 14E	4432	LISTERLANDET/BJÖRKENABBEN	555926.0N	0144001.8E	453	460	F R	Mast				
55N 14E	8606	LYNGBY	555255N	0140929E	459	479	FLG R	Wind turbine				
55N 14E	8607	LYNGBY	555250N	0140954E	459	476	FLG R	Wind turbine				
55N 14E	9061	BORRBY	552813N	0141013E	328	476	F R	Wind turbine				
55N 14E	9547	HUARÖD	555018N	0140028E	328	853	F R	Mast				
55N 14E	9626	BORRBY	552822N	0141012E	331	479	FLG R	Wind turbine				
55N 14E	9802	EVERÖD	555307N	0140935E	459	479	FLG R	Wind turbine				
55N 14E	9803	EVERÖD	555304N	0140951E	459	476	FLG R	Wind turbine				
